,spike_count,stimulation_threshold,mean_amplitude,amplitude_sd,mean_rise_time,rise_time_sd
561region_A,10,500.0,0.6064672591109047,0.1189593510073218,0.5399999999999998,0.2690724809414726
561region_C,5,500.0,0.5702682843547444,0.037003159591768586,1.1199999999999988,0.41182520563948255
561region_E,5,200.0,0.5825551032051826,0.04662971803405787,1.3599999999999994,0.233238075793811
561region_F,17,200.0,0.5480634907311134,0.10734296356815733,0.7341176470588231,0.39833563771876745
561region_H,20,300.0,0.5537709289755977,0.06624797042353145,0.9200000000000005,0.37116034270918513
561region_J,1,700.0,0.3706976470415109,0.0,1.1999999999999886,0.0
563region_E,0,,,,,
563region_Y,5,300.0,0.6101163056779846,0.10314959356097675,0.9599999999999997,0.46303347611160733
564region_A,24,200.0,0.6427146018920591,0.12202969428468957,0.7916666666666673,0.2930254065586956
564region_B,5,200.0,0.43828818424786353,0.09469261656061342,1.0560000000000014,0.3031567251439437
565region_C,7,200.0,0.7499836708033961,0.13402663618267854,1.325714285714284,0.4440996394908663
565region_D,24,200.0,0.547047110673669,0.11000642865075817,0.6049999999999999,0.3270703288285262
566region_A,7,200.0,0.46205033817336877,0.14405963872939814,1.4342857142857146,0.30644771834953005
566region_B,20,200.0,0.47801396635483373,0.15272002491203618,0.8799999999999987,0.3546265641488258
568region_A,24,200.0,0.6126560445907496,0.1210063478278533,0.7216666666666679,0.31863859709011266
568region_B,22,200.0,0.6679628674295416,0.10442277737806759,0.800000000000001,0.36421771710687595
571region_B,5,500.0,0.40287394702515006,0.058945404847622916,1.0479999999999976,0.19497692171126071
571region_Z,0,,,,,
585bregion_U,0,,,,,
585bregion_V,0,,,,,
585sregion_T,0,,,,,
585sregion_W,0,,,,,
586region_A,0,,,,,
586region_B,0,,,,,
586region_E,0,,,,,
587region_A,3,500.0,0.6314534661065002,0.12014537692295842,0.8533333333333365,0.26398653164297786
587region_B,2,400.0,0.5045615827270613,0.15108482965987785,0.5,0.10000000000000142
588region_A,6,400.0,0.5936125520566963,0.07093529242842603,1.133333333333334,0.24944382578492888
588region_B,1,600.0,0.36063167737314594,0.0,0.6000000000000014,0.0
589region_B,2,700.0,0.4743757397684132,0.03185862764861813,0.5,0.09999999999999432
589region_C,8,400.0,0.524373032244056,0.06217088887129291,0.7049999999999983,0.22621892051727363
590region_A,4,600.0,0.6092231127163646,0.09080217204691647,0.6000000000000014,0.46904157598234203
590region_B,13,200.0,0.49497555382168684,0.045032244238969114,0.4430769230769244,0.3155309229118587
590region_C,0,,,,,
590region_D,0,,,,,
590region_E,0,,,,,
590region_F,1,500.0,0.7407259924041985,0.0,0.7999999999999972,0.0
591region_G,0,,,,,
591region_I,6,500.0,0.6018894491834709,0.17233790696466073,0.680000000000002,0.3993327768499168
591region_J,0,,,,,
591region_K,3,300.0,0.661030809353313,0.05914316633404069,0.8000000000000007,0.43204937989385583
597region_R,0,,,,,
597region_S,24,200.0,0.43291114601371944,0.08345175081082826,0.525000000000001,0.3033836954529146
597region_T,18,200.0,0.4491891069341338,0.1019928918884424,0.9155555555555566,0.34791796961388355
597region_U,19,200.0,0.4813212899134241,0.11718733072200072,0.8126315789473683,0.45199955874760783
597region_W,18,200.0,0.5525999681111534,0.08779720985109354,0.5866666666666682,0.2451303508113354
598bregion_B(BG),11,200.0,0.5390414235617458,0.11295714150335531,0.676363636363636,0.3619963015198512
598bregion_C,9,300.0,0.4966356380707207,0.03441151989669931,0.657777777777777,0.3081766368597313
598bregion_D,7,200.0,0.5492268803887518,0.17808175934666368,0.7199999999999989,0.1839254507363542
598bregion_F,8,300.0,0.45906551134375817,0.05565795416467442,0.749999999999998,0.2598076211353339
598region_I(BG),0,,,,,
598sregion_A,0,,,,,
598sregion_G,0,,,,,
598sregion_H,0,,,,,
598sregion_J,0,,,,,
599region_A,21,200.0,0.6141668300397605,0.1546053328346568,0.6914285714285706,0.31812375121709324
599region_A (3rd copy),21,200.0,0.6141668300397605,0.1546053328346568,0.6914285714285706,0.31812375121709324
599region_A (another copy),21,200.0,0.6141668300397605,0.1546053328346568,0.6914285714285706,0.31812375121709324
599region_A (copy),21,200.0,0.6141668300397605,0.1546053328346568,0.6914285714285706,0.31812375121709324
599region_V,1,200.0,0.9981499670453944,0.0,0.9999999999999998,0.0
599region_W,12,300.0,0.4617885123691757,0.1482957388751387,0.7866666666666665,0.32386554137309564
600region_O,13,200.0,0.45490489004575185,0.12942255713814674,0.6738461538461549,0.43981706794352377
600region_P,15,200.0,0.4483431618047833,0.1231338204037012,0.47733333333333405,0.23931754822596846
600region_Q,15,200.0,0.634828681797631,0.08819017781982984,0.6453333333333339,0.31116697911071495
600region_T,0,,,,,
601sregion_L,0,,,,,
601sregion_M,4,300.0,0.6300383324795824,0.11714706404246537,0.46000000000000085,0.16370705543744682
601sregion_N,1,300.0,0.6280178191813466,0.0,0.1999999999999993,0.0
